Country, Alcohol ,Deaths ,Heart, Liver
Australia,2.5000000000,785,211,15.30000019
Austria,3.0000000000,863,167,45.59999847
Belg. and Lux.,2.9000000000,883,131,20.70000076
Canada,2.4000000000,793,NA,16.39999962
Denmark,2.9000000000,971,220,23.89999962
Finland,0.8000000000,970,297,19
France,9.1000000000,751,11,37.90000153
Iceland,-0.8000000000,743,211,11.19999981
Ireland,0.7000000000,1000,300,6.5
Israel,0.6000000000,-834,183,13.69999981
Italy,27.9000000000,775,107,42.20000076
Japan,1.5000000000,680,36,23.20000076
Netherlands,1.8000000000,773,167,9.199999809
New Zealand,1.9000000000,916,266,7.699999809
Norway,0.0800000000,806,227,12.19999981
Spain,6.5000000000,724,NA,NA
Sweden,1.6000000000,743,207,11.19999981
Switzerland,5.8000000000,693,115,20.29999924
UK,1.3000000000,941,285,10.30000019
US,1.2000000000,926,199,22.10000038
West Germany,2.7000000000,861,172,36.70000076
India ,2.9500000000,750,171,20.27
